Codigo de via;Clase de la via;Particula de la via;Nombre de la via;Tipo de tramo ;Nombre de la aproximacion;Numero inicial del tramo;Calificador del numero inicial del tramo;Numero final del tramo;Calificador del numero final del tramo;Zona S E R  del tramo
2323;CALLE                   ;DE    ;JEMENUÑO                                        ;impar;NUM;1;  ;999;  ;21
2323;CALLE                   ;DE    ;JEMENUÑO                                        ;par  ;NUM;2;  ;998;  ;21
2330;CALLE                   ;DE    ;MOZART                                          ;impar;NUM;1;  ;9999;  ;91
2330;CALLE                   ;DE    ;MOZART                                          ;par  ;NUM;2;  ;9998;  ;91
2331;CALLE                   ;DEL   ;MAESTRO SOROZABAL                               ;impar;NUM;1;  ;9999;  ;91
2331;CALLE                   ;DEL   ;MAESTRO SOROZABAL                               ;par  ;NUM;2;  ;9998;  ;91
2353;CALLE                   ;DE LA ;CONDESA DE SANTAMARCA                           ;impar;NUM;11;  ;999;  ;53
2528;CALLE                   ;DE LA ;COSTA VERDE                                     ;impar;NUM;1;  ;999;  ;64
2528;CALLE                   ;DE LA ;COSTA VERDE                                     ;par  ;NUM;2;  ;998;  ;64
2590;CALLE                   ;DE LAS;CIGARRERAS                                      ;impar;NUM;1;  ;999;  ;22
2590;CALLE                   ;DE LAS;CIGARRERAS                                      ;par  ;NUM;2;  ;998;  ;22
2600;CALLE                   ;DE    ;ABTAO                                           ;impar;NUM;1;  ;999;  ;31
2600;CALLE                   ;DE    ;ABTAO                                           ;par  ;NUM;2;  ;998;  ;31
2636;CALLE                   ;DEL   ;PINTOR FRANCISCO LLORENS                        ;impar;NUM;1;  ;999;  ;84
2636;CALLE                   ;DEL   ;PINTOR FRANCISCO LLORENS                        ;par  ;NUM;2;  ;998;  ;84
2640;CALLE                   ;DE LOS;NOGALES                                         ;impar;NUM;1;  ;999;  ;22
2640;CALLE                   ;DE LOS;NOGALES                                         ;par  ;NUM;2;  ;998;  ;22
2728;CALLE                   ;DE LOS;CHULAPOS                                        ;impar;NUM;1;  ;999;  ;21
2728;CALLE                   ;DE LOS;CHULAPOS                                        ;par  ;NUM;2;  ;998;  ;21
2729;CALLE                   ;DEL   ;GRANITO                                         ;impar;NUM;1;  ;999;  ;25
2729;CALLE                   ;DEL   ;GRANITO                                         ;par  ;NUM;2;  ;998;  ;25
2730;CALLE                   ;DEL   ;ZINC                                            ;impar;NUM;1;  ;999;  ;25
2730;CALLE                   ;DEL   ;ZINC                                            ;par  ;NUM;2;  ;998;  ;25
2731;CALLE                   ;DE LA ;CIRCONITA                                       ;impar;NUM;1;  ;999;  ;25
2731;CALLE                   ;DE LA ;CIRCONITA                                       ;par  ;NUM;2;  ;998;  ;25
2871;PLAZA                   ;DEL   ;AMANECER EN MENDEZ ALVARO                       ;impar;NUM;1;  ;999;  ;25
2871;PLAZA                   ;DEL   ;AMANECER EN MENDEZ ALVARO                       ;par  ;NUM;2;  ;998;  ;25
2900;PASEO                   ;DE LAS;ACACIAS                                         ;impar;NUM;1;  ;999;  ;22
2900;PASEO                   ;DE LAS;ACACIAS                                         ;par  ;NUM;2;  ;998;  ;22
2917;CALLE                   ;DE    ;NERJA                                           ;impar;NUM;1;  ;999;  ;24
2917;CALLE                   ;DE    ;NERJA                                           ;par  ;NUM;2;  ;998;  ;24
2918;CALLE                   ;DE    ;FRIGILIANA                                      ;impar;NUM;1;  ;999;  ;24
2918;CALLE                   ;DE    ;FRIGILIANA                                      ;par  ;NUM;2;  ;998;  ;24
2919;CALLE                   ;DE    ;ANDRES DE URDANETA                              ;impar;NUM;1;  ;999;  ;24
2919;CALLE                   ;DE    ;ANDRES DE URDANETA                              ;par  ;NUM;2;  ;998;  ;24
2921;CALLE                   ;DE    ;MUÑOPEDRO                                       ;impar;NUM;1;  ;999;  ;21
2921;CALLE                   ;DE    ;MUÑOPEDRO                                       ;par  ;NUM;2;  ;998;  ;21
2922;CALLE                   ;DE    ;VILLOSLADA                                      ;impar;NUM;1;  ;999;  ;21
2922;CALLE                   ;DE    ;VILLOSLADA                                      ;par  ;NUM;2;  ;998;  ;21
2965;CALLE                   ;DEL   ;POETA CLAUDIO RODRIGUEZ                         ;impar;NUM;1;  ;999;  ;52
2965;CALLE                   ;DEL   ;POETA CLAUDIO RODRIGUEZ                         ;par  ;NUM;2;  ;998;  ;52
3000;CALLE                   ;DE LA ;ACADEMIA                                        ;impar;NUM;1;  ;999;  ;35
3000;CALLE                   ;DE LA ;ACADEMIA                                        ;par  ;NUM;2;  ;998;  ;35
3400;CALLE                   ;DEL   ;ACANTILADO                                      ;impar;NUM;1;  ;9999;  ;91
3400;CALLE                   ;DEL   ;ACANTILADO                                      ;par  ;NUM;2;  ;9998;  ;91
3800;CALLE                   ;DEL   ;ACEBO                                           ;impar;NUM;1;  ;999;  ;54
3800;CALLE                   ;DEL   ;ACEBO                                           ;par  ;NUM;2;  ;998;  ;54
4400;CALLE                   ;DEL   ;ACONITO                                         ;impar;NUM;1;  ;999;  ;65
4400;CALLE                   ;DEL   ;ACONITO                                         ;par  ;NUM;2;  ;998;  ;65
4600;CALLE                   ;DEL   ;ACUEDUCTO                                       ;impar;NUM;1;  ;999;  ;61
4600;CALLE                   ;DEL   ;ACUEDUCTO                                       ;par  ;NUM;2;  ;998;  ;61
