INCIDENTID,CATEGORY,DESCRIPTION,DATE,DISTRICT,STATE,ADDRESS,asWKT
140815212,ASSAULT,BATTERY,27-09-2014,SOUTHERN,NONE,1100.0 Block of MISSION ST,POINT(-122.413089923554 37.7776675641343)
140825891,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",30-09-2014,NORTHERN,NONE,2200.0 Block of BUSH ST,POINT(-122.434057154136 37.7868322238796)
140807275,LARCENY THEFT,GRAND THEFT FROM A BUILDING,24-09-2014,MISSION,NONE,2200.0 Block of MARKET ST,POINT(-122.432527863371 37.7645932601667)
146186156,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,11-09-2014,NORTHERN,NONE,CALIFORNIA ST / FILLMORE ST,POINT(-122.433843066298 37.7889062434082)
140759507,OTHER OFFENSES,RESISTING ARREST,09-09-2014,MISSION,"ARREST, BOOKED",3900.0 Block of 17TH ST,POINT(-122.432362347706 37.7610129656475)
140726487,DRUG NARCOTIC,POSSESSION OF HEROIN,29-08-2014,NORTHERN,"ARREST, BOOKED",100.0 Block of FERN ST,POINT(-122.421059195361 37.7881481016673)
140823481,NON CRIMINAL,"AIDED CASE, MENTAL DISTURBED",30-09-2014,CENTRAL,PSYCHOPATHIC CASE,600.0 Block of COLUMBUS AV,POINT(-122.410644828725 37.8006618773813)
146196650,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",24-09-2014,INGLESIDE,NONE,MONTCALM ST / ALABAMA ST,POINT(-122.410499537086 37.7455724045589)
140731204,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,30-08-2014,SOUTHERN,NONE,800.0 Block of BRYANT ST,POINT(-122.403742962696 37.7752316978411)
140639244,ASSAULT,BATTERY,01-08-2014,NORTHERN,NONE,600.0 Block of EDDY ST,POINT(-122.418706597808 37.7831945685469)
140821435,ASSAULT,THREATS AGAINST LIFE,26-09-2014,BAYVIEW,NONE,0.0 Block of SWEENY ST,POINT(-122.406719733351 37.7333674305855)
146160445,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,12-08-2014,NORTHERN,NONE,GEARY BL / GOUGH ST,POINT(-122.424688703591 37.7853339640603)
140818830,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,28-09-2014,TENDERLOIN,"ARREST, BOOKED",400.0 Block of TAYLOR ST,POINT(-122.411569409036 37.7864965473436)
140668970,NON CRIMINAL,FOUND PROPERTY,10-08-2014,INGLESIDE,NONE,0.0 Block of OCEAN AV,POINT(-122.435610696254 37.7239956015768)
140744837,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",04-09-2014,PARK,NONE,0.0 Block of DOWNEY ST,POINT(-122.447497032559 37.7678968050305)
140771915,NON CRIMINAL,LOST PROPERTY,12-09-2014,BAYVIEW,NONE,5300.0 Block of 3RD ST,POINT(-122.392670238307 37.7292774834764)
140797632,MISSING PERSON,MISSING ADULT,21-09-2014,PARK,LOCATED,0.0 Block of BEULAH ST,POINT(-122.450620030827 37.7675940149318)
140710258,ASSAULT,BATTERY,24-08-2014,INGLESIDE,NONE,4800.0 Block of MISSION ST,POINT(-122.437754859223 37.7205640942032)
140671860,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",12-08-2014,INGLESIDE,JUVENILE BOOKED,1100.0 Block of SUNNYDALE AV,POINT(-122.41246120303 37.710800778928)
140638462,VEHICLE THEFT,STOLEN AUTOMOBILE,01-08-2014,SOUTHERN,NONE,0.0 Block of 9TH ST,POINT(-122.415234074994 37.7766953733757)
140679234,MISSING PERSON,MISSING ADULT,13-08-2014,MISSION,LOCATED,200.0 Block of DOLORES ST,POINT(-122.4265492636 37.7659157082139)
140729196,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,30-08-2014,INGLESIDE,"ARREST, BOOKED",1700.0 Block of SUNNYDALE AV,POINT(-122.418473688728 37.712295192529)
140831133,LARCENY THEFT,GRAND THEFT FROM A BUILDING,26-09-2014,MISSION,NONE,200.0 Block of CLINTONPARK ST,POINT(-122.424991243994 37.769077588698)
140787514,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,18-09-2014,INGLESIDE,"ARREST, BOOKED",29TH ST / MISSION ST,POINT(-122.420896598735 37.7440381549451)
140800473,LARCENY THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,22-09-2014,SOUTHERN,NONE,700.0 Block of TEHAMA ST,POINT(-122.412512107165 37.7747044273964)
140657779,VEHICLE THEFT,STOLEN AUTOMOBILE,07-08-2014,BAYVIEW,NONE,200.0 Block of BAY SHORE BL,POINT(-122.404792325979 37.7439448472081)
140773751,LARCENY THEFT,GRAND THEFT PICKPOCKET,13-09-2014,NORTHERN,NONE,1200.0 Block of POLK ST,POINT(-122.420262739126 37.7882627926986)
140824514,LARCENY THEFT,PETTY THEFT FROM A BUILDING,29-09-2014,SOUTHERN,NONE,700.0 Block of MISSION ST,POINT(-122.403913338018 37.7849153510695)
140657092,LARCENY THEFT,PETTY THEFT FROM LOCKED AUTO,07-08-2014,INGLESIDE,NONE,4900.0 Block of MISSION ST,POINT(-122.438907777456 37.7193144435127)
140694771,OTHER OFFENSES,PROBATION VIOLATION,18-08-2014,BAYVIEW,"ARREST, BOOKED",6000.0 Block of 3RD ST,POINT(-122.394973249689 37.7239747546132)
140795341,WARRANTS,WARRANT ARREST,21-09-2014,BAYVIEW,"ARREST, BOOKED",1200.0 Block of REVERE AV,POINT(-122.384171652575 37.7283088321722)
140644538,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",03-08-2014,BAYVIEW,"ARREST, CITED",INGALLS ST / ARMSTRONG AV,POINT(-122.388499251587 37.7241000405808)
140759137,DRUG NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,09-09-2014,MISSION,NONE,900.0 Block of POTRERO AV,POINT(-122.406760423658 37.7569992228481)
146177020,LARCENY THEFT,PETTY THEFT OF PROPERTY,14-08-2014,CENTRAL,NONE,400.0 Block of MASON ST,POINT(-122.409851224319 37.7872357017072)
140819236,ASSAULT,INFLICT INJURY ON COHABITEE,28-09-2014,MISSION,"ARREST, BOOKED",3900.0 Block of 21ST ST,POINT(-122.434823263409 37.7559700379654)
140642015,WARRANTS,WARRANT ARREST,02-08-2014,BAYVIEW,JUVENILE BOOKED,3RD ST / QUESADA AV,POINT(-122.391245623019 37.7332252033101)
140820283,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,29-09-2014,NORTHERN,NONE,1900.0 Block of BROADWAY ST,POINT(-122.429959099804 37.7948645687533)
146154012,LARCENY THEFT,GRAND THEFT FROM LOCKED AUTO,03-08-2014,SOUTHERN,NONE,100.0 Block of 11TH ST,POINT(-122.415956669097 37.7735700698332)
140686734,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",15-08-2014,CENTRAL,NONE,1300.0 Block of COLUMBUS AV,POINT(-122.418300673943 37.806066784966)
140709756,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",23-08-2014,MISSION,NONE,900.0 Block of VALENCIA ST,POINT(-122.421207789839 37.7573961658763)
140815018,DRUG NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,27-09-2014,BAYVIEW,"ARREST, BOOKED",4500.0 Block of 3RD ST,POINT(-122.389910354121 37.7371674830929)
140684653,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",15-08-2014,NORTHERN,NONE,GEARY BL / WEBSTER ST,POINT(-122.431206932079 37.7845681170633)
140672244,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",01-08-2014,TENDERLOIN,NONE,0.0 Block of OFARRELL ST,POINT(-122.405911798972 37.7866421876642)
146154749,LARCENY THEFT,PETTY THEFT OF PROPERTY,06-08-2014,TENDERLOIN,NONE,0.0 Block of UNITEDNATIONS PZ,POINT(-122.415103667905 37.7797530606274)
