BUILDID,NAME,CATEGORY,DEPARTMENT
3665,STATE RELINQUISHMENT PARCEL,Public Works,90
152,PARKING AREA,Recreation & Park,42
3667,UNDEDICATED STREET  WINSTON DR,Public Works,90
1021,JULIUS KAHN PLAYGROUND,Recreation & Park,42
3362,SEAL ROCKS,Recreation & Park,42
1007,GREAT HIGHWAY,Recreation & Park,42
3503,FAIRMOUNT PLAZA,Recreation & Park,42
683,FIRE STATION #20,Fire,31
117,BALBOA PARK,Recreation & Park,42
3416,"BALBOA RESERVOIR, SOUTH BASIN",Other,14
647,RECHANNELIZATION ROAD,Public Works,90
681,FIRE STATION #15,Fire,31
2104,BALBOA PARK RESERVOIR WATER FACILITIES,PUC Water Department,47
2110,HUNTERS POINT RESERVOIR WATER FACILITIES,PUC Water Department,47
3669,HUNTERS POINT PARK LANDS,Recreation & Park,42
450,EARL P MILLS COMMUNITY CENTER,Public Works,90
3670,BAYVIEW HILL PARK/OPEN SPACE,Recreation & Park,42
3671,ROCKDALE DRIVE VACATED,Public Works,90
122,MIRALOMA PLAYGROUND,Recreation & Park,42
222,MARGARET S HAYWARD PLAYGROUND,Recreation & Park,42
71,BERNAL HEIGHTS PARK,Recreation & Park,42
267,RUSSIAN HILL PARK,Recreation & Park,42
2120,SUMMIT RESERVOIR WATER FACILITIES,PUC Water Department,47
3672,MARVIEW NORTHEAST EXTENSION,Public Works,90
731,SALT WATER PUMPING STATION #2 AT FORT MASON,Fire,31
264,NORTH BEACH PLAYGROUND,Recreation & Park,42
3716,FORMER SEA WALL #21,Port,39
3584,COURTS BUILDING,Real Estate,71
3594,30 VAN NESS OFFICE BUILDING,Real Estate,71
98,MCKINLEY SQUARE,Recreation & Park,42
909,SAN FRANCISCO GEN HOSPITAL,Health,83
3543,CHN Headquarters,Health,83
92,"POTRERO DEL SOL PARK
OPEN SPACEKNUDSEN DAIRY SITE",Recreation & Park,42
3626,FAY PARK,Recreation & Park,42
3630,23RD ST & TREAT AVE aka Porque Ninos Unidos,Recreation & Park,42
2048,1900 NEWCOMB AVE,PUC Clean Water Program,40
646,SEWER DRAINAGE MELROSE & EDNA,PUC Clean Water Program,40
529,SLOPE PROTECTION-BERNAL HTS BL AT RUTLEDGE,Public Works,90
50,ALICE CHALMERS PLAYGROUND,Recreation & Park,42
3675,ROWING CLUB,Recreation & Park,42
2028,RESERVOIR LANDS GLEN PARK,PUC Hetch Hetchy,32
603,SLOPE PROTECTION AT BOSWORTH,Public Works,90
3526,BERNAL HEIGHTS OPEN SPACE,Recreation & Park,42
119,SUNNYSIDE PLAYGROUND,Recreation & Park,42
3637,CITY-OWNED PARCEL 1334038,Real Estate,71
907,SUNSET DAY TREATMENT CENTER,Health,83
2108,FRANCISCO ST RESERVOIR WATER FACILITIES,PUC Clean Water Program,40
3641,CITY-OWNED PARCEL 2647048,Real Estate,71
