STOPID,NAME,asWKT
3385,19th Ave & Randolph St   ,POINT(-122.469618 37.714282)
3387,19th Ave & Randolph St   ,POINT(-122.469998 37.714443)
3388,19th Ave & Rivera St  ,POINT(-122.47577 37.74667)
3389,19th Ave & Rivera St  ,POINT(-122.47601 37.74647)
3390,19th Ave & Sloat Blvd  ,POINT(-122.475203 37.734556)
3391,19th Ave & Sloat Blvd  ,POINT(-122.474974 37.734717)
3392,19th Ave & Santiago St  ,POINT(-122.47567 37.74524)
3393,19th Ave & Santiago St  ,POINT(-122.4759 37.74507)
3394,19th Ave & Taraval St  ,POINT(-122.47554 37.74331)
3395,19th Ave & Taraval St  ,POINT(-122.47578 37.74318)
3396,19th Ave & Ulloa St  ,POINT(-122.47543 37.74149)
3397,19th Ave & Ulloa St  ,POINT(-122.47568 37.74129)
3398,19th Ave & Vicente St  ,POINT(-122.47528 37.7392)
3399,19th Ave & Vicente St  ,POINT(-122.47553 37.73901)
3400,19th Ave & Wawona St  ,POINT(-122.47542 37.73757)
3401,19th Ave & Wawona St  ,POINT(-122.47515 37.73734)
3402,19th Ave & Winston Dr  ,POINT(-122.47468 37.72719)
3403,19th Ave & Winston Dr  ,POINT(-122.474937 37.727017)
3404,20th Ave & Buckingham Way  ,POINT(-122.47588 37.73042)
3405,20th Ave & Buckingham Way  ,POINT(-122.47603 37.73027)
3406,20th Av/Macy's Stonestown,POINT(-122.47568 37.72887)
3408,20th Ave & Winston Dr  ,POINT(-122.475945 37.726874)
3409,20th Ave & Winston Dr  ,POINT(-122.47613 37.72634)
3410,20th St & 3rd St  ,POINT(-122.388673 37.76059)
3411,20th St & 3rd St  ,POINT(-122.388455 37.760411)
3412,20th St & Arkansas St  ,POINT(-122.39808 37.75996)
3413,20th St & Arkansas St  ,POINT(-122.39836 37.75987)
3414,20th St & Collingwood St  ,POINT(-122.435966 37.757677)
3415,20th St & Eureka St  ,POINT(-122.437845 37.757561)
3424,21st St & Douglass St  ,POINT(-122.43901 37.75536)
3425,22nd Ave & Irving St  ,POINT(-122.480268 37.763679)
3426,22nd Ave & Judah St  ,POINT(-122.480106 37.761457)
3427,22nd Ave & Kirkham St  ,POINT(-122.47998 37.759592)
3428,22nd Ave & Lawton St  ,POINT(-122.479853 37.757754)
3429,22nd Ave & Lincoln Way  ,POINT(-122.480372 37.765186)
3430,22nd Ave & Moraga St  ,POINT(-122.479714 37.755898)
3431,22nd Ave & Noriega St  ,POINT(-122.479611 37.754337)
3432,22nd St & 3rd St  ,POINT(-122.38809 37.75801)
3435,22nd St & Iowa St  ,POINT(-122.3918 37.757771)
3436,22nd St & Minnesota St  ,POINT(-122.39008 37.75787)
3437,22nd St & Minnesota St  ,POINT(-122.39 37.75779)
3439,22nd St & Pennsylvania Ave  ,POINT(-122.393052 37.757585)
3441,23rd Ave & Irving St  ,POINT(-122.481482 37.763134)
3442,23rd Ave & Judah St  ,POINT(-122.481378 37.761608)
3443,23rd Ave & Kirkham St  ,POINT(-122.48124 37.759735)
3444,23rd Ave & Lawton St  ,POINT(-122.481113 37.75787)
3445,23rd Ave & Lincoln Way  ,POINT(-122.481609 37.765026)
3446,23rd Ave & Moraga St  ,POINT(-122.480986 37.756014)
3447,23rd Ave & Noriega St  ,POINT(-122.48086 37.75414)
3448,23rd St & Diamond St  ,POINT(-122.436539 37.752698)
3449,23rd St & Eureka St  ,POINT(-122.437387 37.75277)
3450,23RD ST & KANSAS ST,POINT(-122.402668 37.754448)
3452,23rd St & Rhode Island St  ,POINT(-122.401694 37.75451)
3453,23rd St & Utah St  ,POINT(-122.40494 37.75442)
3454,23rd St & Utah St  ,POINT(-122.405304 37.754298)
3455,23rd St & Vermont St  ,POINT(-122.40391 37.75448)
3456,23rd St & Vermont St  ,POINT(-122.403631 37.754395)
3457,23rd St & Wisconsin St  ,POINT(-122.39856 37.75481)
